City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,vitry-le-francois,48.7333,4.5833,64.81,52,100,10.09,FR,1684420238
338,mar del plata,-38.0023,-57.5575,61.95,85,75,9.22,AR,1684420149
339,talnakh,69.4865,88.3972,36.21,98,99,12.1,RU,1684420238
340,piti village,13.4626,144.6933,81.48,86,0,9.22,GU,1684420238
341,alofi,-19.0595,-169.9187,73.29,94,78,4.61,NU,1684420239
342,worthington,40.0931,-83.018,59.16,49,0,3.44,US,1684420165
343,chepen,-7.2167,-79.45,79.18,65,16,8.7,PE,1684420239
344,grand falls-windsor,48.9332,-55.6649,38.5,91,100,11.25,CA,1684420239
345,zyryanovsk,49.7386,84.2719,46.49,55,92,8.55,KZ,1684420240
346,santa terezinha,-29.9002,-50.0904,70.16,63,0,10.18,BR,1684420240
347,fuqing,25.725,119.3794,74.97,92,21,2.44,CN,1684420385
348,choibalsan,48.0667,114.5,62.38,26,97,21.0,MN,1684420240
349,zhangye,38.9342,100.4517,72.21,18,83,6.11,CN,1684420240
350,baharly,38.4362,57.4316,77.49,31,19,6.82,TM,1684420385
351,huicungo,-7.2833,-76.8,80.85,78,20,4.61,PE,1684420241
352,sitka,57.0531,-135.33,51.69,76,0,0.0,US,1684420241
353,gordonvale,-17.0936,145.7842,67.91,95,39,3.91,AU,1684420241
354,alesund,62.4723,6.1549,56.32,62,75,11.5,NO,1684420242
355,wewak,-3.5534,143.6268,79.12,88,100,9.62,PG,1684420242
356,yaransk,57.3033,47.8861,68.4,56,14,6.04,RU,1684420386
357,turochak,52.2576,87.1224,37.67,75,4,4.0,RU,1684420242
358,natal,-5.795,-35.2094,86.22,66,75,14.97,BR,1684420107
359,caiaponia,-16.9567,-51.8103,81.72,32,4,4.92,BR,1684420242
360,sisimiut,66.9395,-53.6735,33.75,91,98,4.07,GL,1684420277
361,fortuna,40.5982,-124.1573,52.66,98,100,0.0,US,1684420387
